horizon,split,model,MSE,MAE,QLIKE
1,train,HAR,0.22340080525040779,0.35018807728972723,0.14536771879741073
1,train,HAR-DOW,0.2074771434293397,0.3372996226975887,0.13495482284815585
1,train,HAR-X,0.16407406405944935,0.29832640688139067,0.10577410762905841
1,test,HAR,0.2718262745695188,0.3969009335698578,0.17008311282139518
1,test,HAR-DOW,0.2727503114310892,0.39523527068696224,0.16983711665522447
1,test,HAR-X,0.2300639245288499,0.36044414569887473,0.13826720701864442
5,train,HAR,0.13074206693976656,0.27075564212544917,0.07801168932536694
5,train,HAR-DOW,0.13039514431186794,0.27033609338246684,0.0778216666201249
5,train,HAR-X,0.11405864571491338,0.2504127363923195,0.06847965391145007
5,test,HAR,0.16308741458025047,0.312844606307267,0.09307360481216276
5,test,HAR-DOW,0.1632447366047311,0.3132567315929355,0.09311916410928779
5,test,HAR-X,0.14688721141887612,0.2951486011415775,0.08538892831273516
22,train,HAR,0.12532022911188911,0.2558166881205187,0.08132334693162163
22,train,HAR-DOW,0.12490814830712228,0.2553468118860168,0.08109903976253703
22,train,HAR-X,0.11448779557695833,0.2492475965789018,0.07093969438172774
22,test,HAR,0.14327481864098368,0.3046164251131819,0.07872846082931986
22,test,HAR-DOW,0.1433730536935085,0.30449104764285134,0.07885885024754975
22,test,HAR-X,0.15268946239782055,0.2976178087075941,0.09150106788031176
