,lasso_coef,selected,block,postlasso_coef,postlasso_se,postlasso_t,postlasso_p,postlasso_ci_lo,postlasso_ci_hi
ev_evt_USD_Fed_s_Mester_speech,1.2400662858940048,True,news,2.190674540944559,0.7316462024454216,2.9941719558203763,0.00275190802492922,0.7566743347260314,3.6246747471630867
ev_evt_USD_Fed_s_Kashkari_speech,-0.4898149450617375,True,news,-1.3971470932746624,0.5715896737727438,-2.4443182887697668,0.014512616735413847,-2.517442267804239,-0.27685191874508575
ev_evt_EUR_IFO_Business_Climate,0.4799730469214387,True,news,2.131556890301784,1.8781308949912126,1.1349352145723353,0.25640246394043176,-1.5495120221329706,5.812625802736539
ev_evt_USD_Fed_s_Bostic_speech,-0.4295273924983146,True,news,-0.6706593107879455,0.411943318588421,-1.628037840463221,0.10351686234977651,-1.47805337889316,0.13673475731726903
ev_evt_EUR_Labor_Cost_Index,0.3725551862399833,True,news,1.3147195246362071,1.0035634040702082,1.310051282563738,0.19017848761411804,-0.6522286035438183,3.2816676528162327
RV_m,0.3469416412524674,True,har,0.3745500099171476,0.11377341890934504,3.292069566931007,0.0009945300741215743,0.15155820645684295,0.5975418133774523
RV_w,0.31704291307762617,True,har,0.30566214474763753,0.06925006153904519,4.413889864564184,1.0152962456340286e-05,0.16993451820392658,0.4413897712913485
ev_evt_USD_FOMC_Minutes,-0.22211790641231502,True,news,-1.020096418574203,0.6159535108371447,-1.6561256663474264,0.09769637260759167,-2.2273431159660086,0.1871502788176025
ev_evt_EUR_10_y_Bond_Auction,0.2112951277646329,True,news,1.1106963092122744,0.4757835262579741,2.33445726452085,0.019571791293708347,0.17817773330917797,2.0432148851153706
ev_evt_EUR_Producer_Price_Index_YoY,0.2089506822491192,True,news,0.10137213669411138,0.5601236893184062,0.18098169855566615,0.8563819412310275,-0.9964501212576673,1.19919439464589
ev_evt_USD_Fed_Interest_Rate_Decision,0.15831853299613674,True,news,0.7640977246451777,0.6985341615303644,1.0938587784614215,0.2740169201664613,-0.6050040739252212,2.1331995232155765
ev_evt_USD_Initial_Jobless_Claims_4_week_average,-0.13468104350386034,True,news,-0.3753603218565157,0.2580071131565309,-1.4548448578190458,0.14571221641023943,-0.8810449713984666,0.13032432768543523
ev_evt_EUR_10_y_Obligaciones_Auction,0.07659349998163419,True,news,0.6938110722660846,0.6621699701854258,1.0477839580550572,0.29473815512923685,-0.6040182209413112,1.9916403654734804
RV_d,0.05710445772300896,True,har,0.07508014417307944,0.012846623295679066,5.844348545530442,5.085544868048214e-09,0.049901225190595214,0.10025906315556367
ev_evt_USD_Fed_s_Powell_speech,-0.005646034881931921,True,news,-0.3151122119419275,0.4923100709866161,-0.6400685878930438,0.5221280096928224,-1.2800222203020524,0.6497977964181975
MON_x_RVd,0.0,False,dow,,,,,,
TUE_x_RVd,0.0,False,dow,,,,,,
THU_x_RVd,0.0,False,dow,,,,,,
FRI_x_RVd,0.0,False,dow,,,,,,
ev_n_events,0.0,False,news,,,,,,
ev_n_events_low,0.0,False,news,,,,,,
ev_n_events_medium,-0.0,False,news,,,,,,
ev_n_events_eur_low,0.0,False,news,,,,,,
ev_n_events_usd_low,-0.0,False,news,,,,,,
ev_n_events_usd_medium,-0.0,False,news,,,,,,
ev_n_events_eur_medium,-0.0,False,news,,,,,,
ev_n_events_high,0.0,False,news,,,,,,
ev_n_events_usd_high,0.0,False,news,,,,,,
ev_n_events_eur_high,0.0,False,news,,,,,,
ev_evt_EUR_Harmonized_Index_of_Consumer_Prices_YoY,0.0,False,news,,,,,,
ev_evt_USD_Initial_Jobless_Claims,0.0,False,news,,,,,,
ev_evt_USD_EIA_Crude_Oil_Stocks_Change,0.0,False,news,,,,,,
ev_evt_EUR_Consumer_Price_Index_MoM,-0.0,False,news,,,,,,
ev_evt_USD_MBA_Mortgage_Applications,0.0,False,news,,,,,,
ev_evt_USD_6_Month_Bill_Auction,0.0,False,news,,,,,,
ev_evt_USD_4_Week_Bill_Auction,0.0,False,news,,,,,,
ev_evt_USD_Redbook_Index_YoY,0.0,False,news,,,,,,
ev_evt_EUR_Harmonized_Index_of_Consumer_Prices_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_Consumer_Confidence,0.0,False,news,,,,,,
ev_evt_USD_Baker_Hughes_US_Oil_Rig_Count,-0.0,False,news,,,,,,
ev_evt_EUR_Producer_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_EUR_CFTC_EUR_NC_Net_Positions,-0.0,False,news,,,,,,
ev_evt_EUR_Retail_Sales_YoY,-0.0,False,news,,,,,,
ev_evt_EUR_5_y_Bond_Auction,0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Production_s_a_MoM,0.0,False,news,,,,,,
ev_evt_EUR_HCOB_Manufacturing_PMI,0.0,False,news,,,,,,
ev_evt_EUR_HCOB_Services_PMI,-0.0,False,news,,,,,,
ev_evt_USD_Michigan_Consumer_Sentiment_Index,-0.0,False,news,,,,,,
ev_evt_EUR_Trade_Balance_s_a,-0.0,False,news,,,,,,
ev_evt_EUR_Current_Account_n_s_a,-0.0,False,news,,,,,,
ev_evt_EUR_Consumer_Price_Index_EU_Norm_MoM,0.0,False,news,,,,,,
ev_evt_USD_S_P_Global_Manufacturing_PMI,0.0,False,news,,,,,,
ev_evt_EUR_HCOB_Composite_PMI,0.0,False,news,,,,,,
ev_evt_EUR_Retail_Sales_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_Gross_Domestic_Product_QoQ,0.0,False,news,,,,,,
ev_evt_EUR_Unemployment_Change,-0.0,False,news,,,,,,
ev_evt_EUR_Core_Harmonized_Index_of_Consumer_Prices_YoY,0.0,False,news,,,,,,
ev_evt_USD_S_P_Global_Services_PMI,-0.0,False,news,,,,,,
ev_evt_EUR_Consumer_Price_Index_EU_norm_YoY,-0.0,False,news,,,,,,
ev_evt_USD_S_P_Global_Composite_PMI,0.0,False,news,,,,,,
ev_evt_USD_Wholesale_Inventories,-0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Williams_speech,-0.0,False,news,,,,,,
ev_evt_EUR_Consumer_Price_Index_EU_norm_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_ECB_s_President_Lagarde_speech,0.0,False,news,,,,,,
ev_evt_EUR_3_y_Bond_Auction,0.0,False,news,,,,,,
ev_evt_EUR_ECB_s_De_Guindos_speech,-0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Bullard_speech,-0.0,False,news,,,,,,
ev_evt_USD_52_Week_Bill_Auction,0.0,False,news,,,,,,
ev_evt_USD_Fed_s_Evans_speech,0.0,False,news,,,,,,
ev_evt_USD_30_Year_Bond_Auction,0.0,False,news,,,,,,
ev_evt_EUR_Retail_Sales_n_s_a_YoY,0.0,False,news,,,,,,
ev_evt_EUR_Inflation_ex_tobacco_MoM,0.0,False,news,,,,,,
ev_evt_USD_Consumer_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_USD_NFIB_Business_Optimism_Index,-0.0,False,news,,,,,,
ev_evt_USD_Richmond_Fed_Manufacturing_Index,0.0,False,news,,,,,,
ev_evt_USD_Producer_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_EUR_Current_Account,0.0,False,news,,,,,,
ev_evt_USD_Average_Hourly_Earnings_MoM,0.0,False,news,,,,,,
ev_evt_USD_Existing_Home_Sales_Change_MoM,0.0,False,news,,,,,,
ev_evt_USD_RealClearMarkets_TIPP_Economic_Optimism_MoM,0.0,False,news,,,,,,
ev_evt_USD_Challenger_Job_Cuts,0.0,False,news,,,,,,
ev_evt_EUR_Trade_Balance_n_s_a,-0.0,False,news,,,,,,
ev_evt_EUR_Current_Account_s_a,-0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Production_w_d_a_YoY,0.0,False,news,,,,,,
ev_evt_USD_Goods_and_Services_Trade_Balance,0.0,False,news,,,,,,
ev_evt_USD_NY_Empire_State_Manufacturing_Index,0.0,False,news,,,,,,
ev_evt_EUR_Current_Account_Balance,-0.0,False,news,,,,,,
ev_evt_EUR_Exports_EUR,0.0,False,news,,,,,,
ev_evt_EUR_Factory_Orders_n_s_a_YoY,0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Production_n_s_a_w_d_a_YoY,0.0,False,news,,,,,,
ev_evt_EUR_ZEW_Survey_Current_Situation,-0.0,False,news,,,,,,
ev_evt_USD_Chicago_PMI,-0.0,False,news,,,,,,
ev_evt_USD_Dallas_Fed_Manufacturing_Business_Index,-0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Output_MoM,-0.0,False,news,,,,,,
ev_evt_USD_2_Year_Note_Auction,-0.0,False,news,,,,,,
ev_evt_USD_Capacity_Utilization,-0.0,False,news,,,,,,
ev_evt_USD_Consumer_Credit_Change,-0.0,False,news,,,,,,
ev_evt_USD_Monthly_Budget_Statement,0.0,False,news,,,,,,
ev_evt_USD_NAHB_Housing_Market_Index,0.0,False,news,,,,,,
ev_evt_USD_Philadelphia_Fed_Manufacturing_Survey,0.0,False,news,,,,,,
ev_evt_USD_S_P_Case_Shiller_Home_Price_Indices_YoY,-0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Output_s_a_MoM,-0.0,False,news,,,,,,
ev_evt_USD_Business_Inventories,-0.0,False,news,,,,,,
ev_evt_USD_ISM_Manufacturing_PMI,0.0,False,news,,,,,,
ev_evt_USD_ISM_Services_PMI,-0.0,False,news,,,,,,
ev_evt_USD_Import_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_USD_Total_Vehicle_Sales,0.0,False,news,,,,,,
ev_evt_EUR_Unemployment_Rate_s_a,0.0,False,news,,,,,,
ev_evt_USD_Net_Long_Term_TIC_Flows,0.0,False,news,,,,,,
ev_evt_EUR_Business_Climate_in_Manufacturing,0.0,False,news,,,,,,
ev_evt_EUR_Industrial_Output_Cal_Adjusted_YoY,0.0,False,news,,,,,,
ev_evt_USD_Housing_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_EUR_Unemployment_Rate,0.0,False,news,,,,,,
ev_evt_EUR_Budget_Balance,-0.0,False,news,,,,,,
ev_evt_USD_Kansas_Fed_Manufacturing_Activity,0.0,False,news,,,,,,
ev_evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_USD_Gross_Domestic_Product_Annualized,0.0,False,news,,,,,,
ev_evt_EUR_Exports_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_12_Month_Letras_Auction,-0.0,False,news,,,,,,
ev_evt_EUR_Global_Trade_Balance,-0.0,False,news,,,,,,
ev_evt_USD_Durable_Goods_Orders,0.0,False,news,,,,,,
ev_evt_EUR_GfK_Consumer_Confidence_Survey,-0.0,False,news,,,,,,
ev_evt_EUR_Construction_Output_s_a_MoM,0.0,False,news,,,,,,
ev_evt_USD_New_Home_Sales_Change_MoM,-0.0,False,news,,,,,,
ev_evt_USD_Pending_Home_Sales_MoM,0.0,False,news,,,,,,
ev_evt_USD_Construction_Spending_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_30_y_Bond_Auction,-0.0,False,news,,,,,,
ev_evt_EUR_Import_Price_Index_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_M3_Money_Supply_3m,0.0,False,news,,,,,,
ev_evt_USD_Building_Permits_MoM,0.0,False,news,,,,,,
ev_evt_EUR_Wholesale_Price_Index_MoM,0.0,False,news,,,,,,
ev_evt_EUR_Producer_Prices_MoM,-0.0,False,news,,,,,,
ev_evt_EUR_Sentix_Investor_Confidence,-0.0,False,news,,,,,,
