horizon,merged_column,representative
1,ev_evt_USD_Continuing_Jobless_Claims,ev_evt_USD_Initial_Jobless_Claims
1,ev_evt_USD_EIA_Natural_Gas_Storage_Change,ev_evt_USD_Initial_Jobless_Claims
1,ev_evt_EUR_Consumer_Price_Index_YoY,ev_evt_EUR_Consumer_Price_Index_MoM
1,ev_evt_USD_3_Month_Bill_Auction,ev_evt_USD_6_Month_Bill_Auction
1,ev_evt_EUR_Producer_Price_Index_MoM,ev_evt_EUR_Producer_Price_Index_YoY
1,ev_evt_USD_CFTC_Gold_NC_Net_Positions,ev_evt_EUR_CFTC_EUR_NC_Net_Positions
1,ev_evt_USD_CFTC_Oil_NC_Net_Positions,ev_evt_EUR_CFTC_EUR_NC_Net_Positions
1,ev_evt_USD_CFTC_S_P_500_NC_Net_Positions,ev_evt_EUR_CFTC_EUR_NC_Net_Positions
1,ev_evt_EUR_HCOB_Composite_PMI,ev_evt_EUR_HCOB_Services_PMI
1,ev_evt_EUR_Consumer_Price_Index_EU_Norm_YoY,ev_evt_EUR_Consumer_Price_Index_EU_Norm_MoM
1,ev_evt_EUR_Gross_Domestic_Product_YoY,ev_evt_EUR_Gross_Domestic_Product_QoQ
1,ev_evt_USD_S_P_Global_Composite_PMI,ev_evt_USD_S_P_Global_Services_PMI
1,ev_evt_EUR_Consumer_Price_Index_EU_norm_MoM,ev_evt_EUR_Consumer_Price_Index_EU_norm_YoY
1,ev_evt_EUR_IFO_Current_Assessment,ev_evt_EUR_IFO_Business_Climate
1,ev_evt_EUR_IFO_Expectations,ev_evt_EUR_IFO_Business_Climate
1,ev_evt_USD_Chicago_PMI,ev_evt_EUR_Current_Account_Balance
1,ev_evt_EUR_Retail_Sales_s_a_MoM,ev_evt_EUR_Retail_Sales_n_s_a_YoY
1,ev_evt_EUR_ZEW_Survey_Economic_Sentiment,ev_evt_EUR_ZEW_Survey_Current_Situation
1,ev_evt_USD_Retail_Sales_ex_Autos_MoM,ev_evt_USD_Business_Inventories
1,ev_evt_USD_Retail_Sales_MoM,ev_evt_USD_Business_Inventories
1,ev_evt_USD_Industrial_Production_MoM,ev_evt_USD_Capacity_Utilization
1,ev_evt_USD_Consumer_Price_Index_MoM,ev_evt_USD_Consumer_Price_Index_Core_s_a
1,ev_evt_USD_Consumer_Price_Index_YoY,ev_evt_USD_Consumer_Price_Index_Core_s_a
1,ev_evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM,ev_evt_USD_Consumer_Price_Index_Core_s_a
